"mutation","freq","Mut_AUC_mean","others_AUC_mean","p.value"
"TTN",11,533.327142857143,524.706245546206,0.839
"APC",10,439.672608695652,524.791776540123,0.15
"OBSCN",7,493.77,524.737595833333,0.568
"FAT4",6,420.839166666667,524.76487597046,0.177
"FSIP2",6,428.526363636364,524.757738014088,0.177
"MYCBP2",6,433.586363636364,524.755630159812,0.288
"PCNT",6,362.92,524.766680298383,0.157
"PKHD1L1",6,452.306153846154,524.753319194062,0.322
"SACS",6,367.263,524.777293520657,0.162
"SLCO6A1",6,294.3,524.778739871261,0.048
